Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
January,98297,Non EEA,washington,1800,san juan,OSCT
January,97477,UK,oregon,7000,lane,SIG
February,95446,UK,california,1246,sonoma,OSCT
January,98512,UK,washington,1350,thurston,Strategy & Reform Directorate
January,95425,UK,california,1588,mendocino,SIG
January,97301,UK,oregon,775,marion,Strategic Director Border
January,95465,UK,california,374,sonoma,Strategic Director Border
January,98632,UK,washington,530,cowlitz,Strategic Director Border
January,98502,UK,washington,4260,thurston,Crime & Policing Group
February,97132,UK,oregon,1774,clackamas,HROD
March,97123,UK,oregon,490,yamhill,Strategy & Reform Directorate
February,97048,UK,oregon,13,columbia,Strategic Director Border
January,95441,UK,california,2122,sonoma,Policy & Strategy
January,98531,UK,washington,1250,thurston,Policy & Strategy
January,97124,UK,oregon,5600,washington,Strategic Director Border
March,96093,UK,california,2000,trinity,Strategy & Reform Directorate
February,94972,UK,california,2000,marin,OSCT
January,98596,UK,washington,2000,lewis,Strategic Director Border
January,97502,UK,oregon,250,jackson,HMIC
January,95453,UK,california,1250,lake,Strategic Director Border
February,96048,UK,california,250,trinity,Strategic Director Border
January,98245,UK,washington,835,san juan,Policy & Strategy
January,98280,UK,washington,200,san juan,Strategic Director Border
January,95436,UK,california,300,sonoma,Immigration Group
January,95485,UK,california,750,lake,Resource Management Group
January,98380,UK,washington,700,kitsap,Strategy & Reform Directorate
February,97317,UK,oregon,9,marion,Science & Research Group
January,94940,UK,california,2400,marin,Strategic Director Border
January,98501,EEA,washington,15836,thurston,Immigration Group
January,97501,UK,oregon,3345,jackson,Immigration Group
January,94937,UK,california,500,marin,Immigration Group
January,95448,UK,california,46450,sonoma,Legal Advisors Branch
February,98506,UK,washington,16900,thurston,Immigration Group
January,97006,UK,oregon,1400,washington,Immigration Group
January,97007,UK,oregon,12267,washington,HMIC
January,97355,UK,oregon,215,linn,Science & Research Group
January,97140,UK,oregon,3787,washington,Policy & Strategy
January,97071,UK,oregon,500,clackamas,OSCT
January,95472,UK,california,7808,sonoma,Strategy & Reform Directorate
February,97504,UK,oregon,11335,jackson,Immigration Group
January,97231,UK,oregon,850,multnomah,Criminal & Detention Group
February,94956,UK,california,1865,marin,Immigration Group
January,97535,UK,oregon,350,jackson,HMIC
February,97229,UK,oregon,14240,multnomah,Criminal & Detention Group
January,95492,UK,california,1740,sonoma,Strategy & Reform Directorate
January,97008,UK,oregon,2057,washington,Strategy & Reform Directorate
January,97005,UK,oregon,2500,washington,HMIC
February,98503,UK,washington,1275,thurston,Immigration Group
January,98368,UK,washington,650,jefferson,International Group
February,97540,UK,oregon,2025,jackson,Strategic Director Border
January,95451,UK,california,4192,lake,Immigration Group
February,97224,UK,oregon,3031,washington,Criminal & Detention Group
February,98516,UK,washington,250,thurston,Immigration Group
January,97223,UK,oregon,1714,washington,Strategic Director Border
January,94950,UK,california,200,marin,Immigration Group
February,97070,UK,oregon,2350,washington,Strategic Director Border
January,97062,UK,oregon,575,washington,Immigration Group
January,97225,UK,oregon,12319,washington,Immigration Group
January,97383,UK,oregon,415,linn,Science & Research Group
January,98513,UK,washington,16325,thurston,Strategic Director Border
January,95403,UK,california,2780,sonoma,Immigration Group
March,95401,UK,california,9817,sonoma,Strategic Director Border
January,97203,UK,oregon,487,multnomah,Immigration Group
January,98230,UK,washington,75,whatcom,HMIC
February,97221,UK,oregon,70335,washington,Strategic Director Border
February,95407,EEA,california,250,sonoma,SIG
January,97035,UK,oregon,7450,multnomah,Criminal & Detention Group
January,95426,UK,california,500,lake,Immigration Group
January,98329,UK,washington,3800,pierce,Strategic Director Border
February,98312,UK,washington,117,kitsap,Strategic Director Border
January,94931,UK,california,1927,sonoma,Strategic Director Border
February,97210,UK,oregon,40150,multnomah,HROD
February,97219,UK,oregon,31585,clackamas,OSCT
March,94924,UK,california,10,marin,OSCT
March,98642,UK,washington,1450,clark,OSCT
January,94928,UK,california,2620,sonoma,Immigration Group
January,97239,UK,oregon,20704,multnomah,HROD
January,94952,UK,california,12580,sonoma,OSCT
January,95404,UK,california,9297,sonoma,Criminal & Detention Group
January,98660,UK,washington,2050,clark,Immigration Group
January,97201,UK,oregon,15580,multnomah,Finance & Commercial Group
February,97217,UK,oregon,1325,multnomah,OSCT
January,97205,UK,oregon,4875,multnomah,UKBA
February,98685,UK,washington,6450,clark,HROD
January,97209,UK,oregon,13264,multnomah,Strategic Director Border
January,97013,EEA,oregon,1150,clackamas,Immigration Group
January,97034,UK,oregon,14325,clackamas,Immigration Group
January,94946,UK,california,3000,marin,OSCT
January,97204,UK,oregon,3175,multnomah,Criminal & Detention Group
March,97227,UK,oregon,500,multnomah,OSCT
January,95405,UK,california,4005,sonoma,International Group
February,98239,UK,washington,535,island,Criminal & Detention Group
January,98665,UK,washington,1800,clark,Strategic Director Border
January,94951,UK,california,1250,sonoma,Immigration Group
March,95423,UK,california,500,lake,Strategy & Reform Directorate
January,98570,UK,washington,16,lewis,Criminal & Detention Group
January,98277,UK,washington,2197,island,UKBA
January,94970,UK,california,500,marin,Strategic Director Border
January,97211,UK,oregon,17250,multnomah,Strategic Director Border
January,97214,UK,oregon,4575,multnomah,Immigration Group
January,97232,UK,oregon,303282,multnomah,Immigration Group
January,97068,UK,oregon,3775,clackamas,Immigration Group
January,97212,UK,oregon,10575,multnomah,Immigration Group
February,95409,UK,california,13503,sonoma,Immigration Group
January,97202,UK,oregon,18493,clackamas,Strategic Director Border
January,94973,UK,california,2000,marin,Immigration Group
February,95422,UK,california,10,lake,Strategy & Reform Directorate
January,98311,EEA,washington,1456,kitsap,Crime & Policing Group
February,98337,UK,washington,1600,kitsap,Strategic Director Border
January,98686,UK,washington,289,clark,Strategy & Reform Directorate
January,98661,UK,washington,1819,clark,Strategic Director Border
January,98310,UK,washington,16,kitsap,Strategic Director Border
January,98629,UK,washington,500,clark,Resource Management Group
January,98221,UK,washington,4250,skagit,Immigration Group
February,97222,UK,oregon,6662,clackamas,OSCT
February,97520,UK,oregon,7483,jackson,HMIC
February,97267,UK,oregon,1436,clackamas,OSCT
January,95461,UK,california,1249,lake,Finance & Commercial Group
January,94515,UK,california,10955,sonoma,Science & Research Group
February,94954,UK,california,2813,sonoma,Crime & Policing Group
February,98335,UK,washington,5025,pierce,Strategic Director Border
January,97215,UK,oregon,3850,multnomah,Strategic Director Border
January,98332,UK,washington,350,pierce,Criminal & Detention Group
February,97218,UK,oregon,250,multnomah,Crime & Policing Group
January,97213,UK,oregon,2675,multnomah,HROD
January,94930,UK,california,2125,marin,Strategic Director Border
February,98366,UK,washington,500,kitsap,Strategic Director Border
January,95457,UK,california,1260,lake,Policy & Strategy
January,94947,UK,california,2750,marin,HROD
January,97027,UK,oregon,367,clackamas,OSCT
January,97045,UK,oregon,2600,clackamas,Strategic Director Border
January,98664,UK,washington,550,clark,Strategic Director Border
January,98662,UK,washington,200,clark,Strategic Director Border
January,98340,UK,washington,50,kitsap,Immigration Group
January,94960,UK,california,23385,marin,Criminal & Detention Group
January,98597,UK,washington,2725,thurston,Strategic Director Border
February,97208,UK,oregon,55416,multnomah,OSCT
January,94945,UK,california,1770,marin,Strategic Director Border
January,97266,UK,oregon,1235,multnomah,UKBA
February,94957,UK,california,17150,marin,Strategic Director Border
January,97216,UK,oregon,225,multnomah,Strategic Director Border
January,97220,UK,oregon,781,multnomah,Strategic Director Border
January,98498,UK,washington,300,pierce,Strategic Director Border
January,98392,UK,washington,10900,kitsap,Strategic Director Border
January,98558,UK,washington,500,pierce,Crime & Policing Group
January,95467,UK,california,1274,lake,Immigration Group
January,95452,UK,california,3400,sonoma,Immigration Group
January,94903,UK,california,13911,marin,HROD
January,94904,UK,california,21475,marin,Strategic Director Border
February,98249,UK,washington,143,island,OSCT
January,94941,UK,california,57469,marin,OSCT
January,94949,UK,california,1620,marin,Science & Research Group
January,94939,UK,california,25050,marin,Strategic Director Border
January,98110,UK,washington,8712,kitsap,Science & Research Group
January,98466,UK,washington,2719,pierce,Criminal & Detention Group
January,97015,UK,oregon,2250,clackamas,Science & Research Group
February,98465,UK,washington,1600,pierce,HROD
January,95442,UK,california,5870,sonoma,Immigration Group
January,98439,UK,washington,400,pierce,Strategic Director Border
January,98684,UK,washington,10000,clark,Crime & Policing Group
January,97086,UK,oregon,2000,clackamas,Immigration Group
February,98346,UK,washington,67075,kitsap,Strategic Director Border
January,98604,UK,washington,10,clark,Science & Research Group
January,94925,UK,california,2255,marin,Strategic Director Border
January,94901,UK,california,255627,marin,Finance & Commercial Group
January,98682,UK,washington,700,clark,Criminal & Detention Group
January,98683,UK,washington,924,clark,International Group
January,97236,UK,oregon,230,multnomah,Immigration Group
January,94038,UK,california,30000,san mateo,Immigration Group
January,98499,UK,washington,250,pierce,Science & Research Group
January,94037,UK,california,5650,san mateo,UKBA
January,97230,UK,oregon,483,multnomah,Strategic Director Border
January,98257,UK,washington,9800,skagit,Policy & Strategy
January,98407,UK,washington,730,pierce,Strategy & Reform Directorate
February,94965,UK,california,13985,marin,Strategic Director Border
January,98406,UK,washington,3718,pierce,Immigration Group
January,94121,UK,california,65813,san francisco,HROD
January,94116,UK,california,39875,san francisco,OSCT
March,98225,UK,washington,20800,whatcom,Strategy & Reform Directorate
January,94122,UK,california,15973,san francisco,Science & Research Group
January,94044,UK,california,21870,san mateo,Strategic Director Border
January,94015,UK,california,27925,san mateo,Immigration Group
January,98409,UK,washington,300,pierce,Immigration Group
January,98606,UK,washington,1000,clark,Strategic Director Border
January,94132,UK,california,8750,san francisco,Immigration Group
January,94576,UK,california,1360,napa,HROD
January,94920,UK,california,126679,marin,Immigration Group
January,97004,UK,oregon,40,clackamas,Immigration Group
January,95476,UK,california,26672,sonoma,Immigration Group
January,98070,UK,washington,765,king,Strategic Director Border
January,98405,UK,washington,10669,pierce,OSCT
February,94129,UK,california,62650,san francisco,Strategic Director Border
January,94118,UK,california,122152,san francisco,Immigration Group
January,94127,UK,california,15700,san francisco,Policy & Strategy
January,98403,UK,washington,1500,pierce,Strategy & Reform Directorate
January,94574,UK,california,50136,napa,Criminal & Detention Group
January,94508,UK,california,4595,napa,Criminal & Detention Group
January,94014,UK,california,500,san mateo,Immigration Group
January,97089,UK,oregon,3100,clackamas,Immigration Group
February,98260,UK,washington,600,island,Crime & Policing Group
February,97463,UK,oregon,20,lane,Crime & Policing Group
January,97024,UK,oregon,250,multnomah,Private Office
January,94019,UK,california,15400,san mateo,Private Office
January,94117,UK,california,21928,san francisco,Strategic Director Border
January,94112,UK,california,5300,san francisco,HROD
January,98402,UK,washington,67500,pierce,Strategic Director Border
January,94123,UK,california,188260,san francisco,Strategic Director Border
January,94131,UK,california,32462,san francisco,Science & Research Group
January,94115,UK,california,162470,san francisco,Strategy & Reform Directorate
January,98226,UK,washington,2870,whatcom,Strategic Director Border
February,98229,UK,washington,640,whatcom,Strategic Director Border
January,94114,UK,california,128279,san francisco,Strategic Director Border
February,94080,UK,california,7175,san mateo,Strategic Director Border
February,94066,UK,california,4000,san mateo,Strategic Director Border
February,94109,UK,california,171815,san francisco,Strategic Director Border
February,94102,UK,california,26135,san francisco,Immigration Group
February,98404,UK,washington,32868,pierce,Crime & Policing Group
February,94110,UK,california,54145,san francisco,Crime & Policing Group
January,96001,UK,california,5799,shasta,HMIC
January,94573,UK,california,27322,napa,Resource Management Group
January,98232,UK,washington,75,skagit,Crime & Policing Group
February,98445,UK,washington,500,pierce,Strategic Director Border
January,94103,UK,california,126038,san francisco,Policy & Strategy
January,94134,UK,california,1000,san francisco,Strategic Director Border
January,94133,UK,california,51828,san francisco,Strategic Director Border
January,97080,UK,oregon,4150,multnomah,Strategic Director Border
March,94108,UK,california,88380,san francisco,Strategy & Reform Directorate
March,98607,UK,washington,3958,clark,Strategy & Reform Directorate
January,98387,UK,washington,250,pierce,Strategy & Reform Directorate
January,94567,Non EEA,california,1500,napa,OSCT
February,94005,UK,california,450,san mateo,Immigration Group
January,94104,UK,california,57976,san francisco,Policy & Strategy
January,94030,UK,california,14675,san mateo,Immigration Group
February,98236,UK,washington,10,island,Crime & Policing Group
March,94111,UK,california,128315,san francisco,Strategy & Reform Directorate
March,96064,UK,california,1500,siskiyou,Strategy & Reform Directorate
January,98199,UK,washington,13487,king,Policy & Strategy
January,94107,UK,california,84855,san francisco,Science & Research Group
January,94105,EEA,california,177333,san francisco,International Group
January,98116,UK,washington,19950,king,Immigration Group
January,94124,UK,california,4100,san francisco,Immigration Group
January,94158,UK,california,6973,san francisco,Criminal & Detention Group
February,98292,UK,washington,1269,snohomish,Strategic Director Border
March,98136,UK,washington,16075,king,Strategy & Reform Directorate
February,96094,UK,california,100,siskiyou,HROD
January,97009,UK,oregon,250,multnomah,HMIC
January,98117,UK,washington,13810,king,Strategic Director Border
January,98446,UK,washington,1250,pierce,Strategic Director Border
January,98126,UK,washington,4205,king,HROD
January,98107,UK,washington,10243,king,Immigration Group
January,98020,UK,washington,16640,snohomish,Immigration Group
January,98177,UK,washington,104672,king,Strategic Director Border
January,98119,UK,washington,55343,king,Strategic Director Border
January,94801,UK,california,700,contra costa,Policy & Strategy
March,94010,UK,california,163694,san mateo,Immigration Group
January,94599,UK,california,8400,napa,Strategic Director Border
February,98023,UK,washington,200,king,OSCT
January,98424,UK,washington,500,pierce,Strategic Director Border
March,98146,UK,washington,6256,king,Strategy & Reform Directorate
January,98106,UK,washington,2050,king,Science & Research Group
February,98273,UK,washington,3350,skagit,Crime & Policing Group
January,98109,UK,washington,36302,king,Strategic Director Border
January,98121,UK,washington,14350,king,Policy & Strategy
January,98133,UK,washington,5635,king,Finance & Commercial Group
January,96003,UK,california,200,shasta,Immigration Group
January,98103,UK,washington,185550,king,Strategic Director Border
January,94804,UK,california,2929,contra costa,Immigration Group
January,94806,UK,california,8324,contra costa,Immigration Group
February,98026,UK,washington,1850,snohomish,Strategic Director Border
January,98134,UK,washington,500,king,Resource Management Group
February,98101,UK,washington,47932,king,Strategy & Reform Directorate
January,96002,UK,california,650,shasta,HMIC
January,98104,UK,washington,171744,king,Strategic Director Border
February,94402,UK,california,32541,san mateo,Strategic Director Border
January,94805,UK,california,400,contra costa,International Directorate
January,98102,UK,washington,20895,king,Private Office
February,94401,UK,california,13400,san mateo,Immigration Group
January,98373,UK,washington,500,pierce,Strategic Director Border
January,98371,UK,washington,1020,pierce,Strategic Director Border
January,98108,UK,washington,1700,king,Finance & Commercial Group
March,98198,UK,washington,1300,king,Strategic Director Border
January,96067,UK,california,250,siskiyou,Strategy & Reform Directorate
February,98003,UK,washington,2300,king,Strategic Director Border
January,96049,UK,california,250,siskiyou,Criminal & Detention Group
February,98043,UK,washington,253,snohomish,Immigration Group
February,94530,UK,california,9858,contra costa,Private Office
January,98122,UK,washington,11850,king,OSCT
January,98155,UK,washington,1108,king,Criminal & Detention Group
January,98125,UK,washington,3387,king,Strategic Director Border
February,98168,UK,washington,210,king,HROD
February,94403,UK,california,13621,san mateo,Policy & Strategy
January,98115,UK,washington,20946,king,Crime & Policing Group
February,98105,UK,washington,32525,king,Immigration Group
January,98144,UK,washington,2632,king,Immigration Group
January,94558,UK,california,82836,napa,Strategic Director Border
February,94710,UK,california,8150,alameda,Strategic Director Border
January,98112,UK,washington,33955,king,Immigration Group
January,94803,UK,california,1020,contra costa,Immigration Group
February,94706,UK,california,1745,alameda,Private Office
January,94564,UK,california,650,contra costa,Immigration Group
February,94002,UK,california,4606,san mateo,Immigration Group
February,94607,UK,california,43000,alameda,Immigration Group
February,94559,UK,california,23215,napa,Immigration Group
February,94702,UK,california,1500,alameda,Strategic Director Border
January,98036,UK,washington,1837,snohomish,Immigration Group
January,98037,UK,washington,25,snohomish,Strategic Director Border
January,94608,UK,california,19014,alameda,Criminal & Detention Group
February,98671,UK,washington,2771,skamania,Immigration Group
January,94707,EEA,california,78260,alameda,Strategic Director Border
January,94703,UK,california,6361,alameda,Immigration Group
January,98118,UK,washington,3272,king,Science & Research Group
February,94612,UK,california,31800,alameda,Immigration Group
January,94404,UK,california,21665,san mateo,Crime & Policing Group
January,94709,UK,california,37734,alameda,HMIC
January,94070,UK,california,61419,san mateo,Immigration Group
April,98001,UK,washington,10250,king,Science & Research Group
January,94609,UK,california,3291,alameda,HROD
January,94708,UK,california,20915,contra costa,Strategic Director Border
January,94062,UK,california,97665,san mateo,Group HR
February,98374,UK,washington,1085,pierce,Strategy & Reform Directorate
January,94501,UK,california,12297,alameda,Strategic Director Border
February,94704,UK,california,2679,alameda,Immigration Group
January,94547,EEA,california,4528,contra costa,Strategic Director Border
January,94503,UK,california,2304,napa,HROD
January,94720,UK,california,250,alameda,Resource Management Group
February,94705,UK,california,85276,alameda,HROD
January,94589,UK,california,215,napa,OSCT
January,98266,UK,washington,250,whatcom,OSCT
January,98028,Non EEA,washington,800,king,Policy & Strategy
January,98178,Non EEA,washington,750,king,Policy & Strategy
February,94065,UK,california,47440,san mateo,UKBA
January,94590,UK,california,4567,solano,Finance & Commercial Group
January,98047,UK,washington,25,pierce,Science & Research Group
January,94618,UK,california,20730,alameda,Strategic Director Border
January,94606,UK,california,3758,alameda,Strategic Director Border
January,94610,UK,california,16905,alameda,Finance & Commercial Group
January,94502,UK,california,2000,alameda,Strategy & Reform Directorate
January,94061,UK,california,4550,san mateo,Strategic Director Border
February,98039,UK,washington,38700,king,Strategy & Reform Directorate
January,98040,UK,washington,52427,king,Policy & Strategy
February,96073,UK,california,250,shasta,Strategic Director Border
January,95679,UK,california,5700,yolo,Legal Advisors Branch
January,94020,UK,california,2705,san mateo,Strategic Director Border
February,94525,UK,california,300,contra costa,Criminal & Detention Group
January,94611,UK,california,123449,alameda,Strategic Director Border
February,98021,UK,washington,250,snohomish,Immigration Group
January,94601,UK,california,1870,alameda,Strategic Director Border
January,98203,UK,washington,250,snohomish,Policy & Strategy
February,98271,UK,washington,16132,snohomish,Immigration Group
January,98002,UK,washington,225,king,Strategic Director Border
January,95606,UK,california,53200,yolo,Legal Advisors Branch
January,94063,UK,california,6925,san mateo,Finance & Commercial Group
February,94028,UK,california,251836,san mateo,Crime & Policing Group
January,94602,UK,california,8602,alameda,HMIC
January,94591,UK,california,8100,solano,Strategy & Reform Directorate
January,98055,UK,washington,250,king,Policy & Strategy
January,95988,UK,california,375,glenn,Legal Advisors Branch
January,98012,UK,washington,1000,snohomish,Strategic Director Border
February,98004,UK,washington,51020,king,International Group
January,98011,UK,washington,3170,king,Immigration Group
January,98201,UK,washington,1000,snohomish,Immigration Group
February,94027,Non EEA,california,210704,san mateo,Strategic Director Border
February,98208,UK,washington,2275,snohomish,Strategic Director Border
January,98034,UK,washington,650,king,Resource Management Group
February,98031,EEA,washington,912,king,Crime & Policing Group
January,98033,UK,washington,7050,king,Science & Research Group
January,98030,UK,washington,1540,king,Finance & Commercial Group
January,94569,UK,california,865,contra costa,Strategic Director Border
February,94621,UK,california,2500,alameda,Private Office
January,94613,UK,california,20,alameda,Strategic Director Border
January,94619,UK,california,12211,alameda,Strategic Director Border
February,94025,UK,california,225408,san mateo,International Group
January,98056,UK,washington,316,king,Strategic Director Border
January,94563,UK,california,21886,contra costa,Strategic Director Border
February,94603,UK,california,1000,alameda,International Group
March,98005,UK,washington,5550,king,HROD
February,94304,UK,california,82204,santa clara,Criminal & Detention Group
January,98284,UK,washington,1480,skagit,Criminal & Detention Group
March,94305,UK,california,48091,santa clara,HROD
January,98092,UK,washington,10266,pierce,Science & Research Group
January,94605,UK,california,3160,alameda,Strategic Director Border
January,98391,UK,washington,968,pierce,Immigration Group
January,98270,UK,washington,75,snohomish,Strategic Director Border
January,94577,UK,california,2355,alameda,Criminal & Detention Group
January,94510,UK,california,2950,solano,Strategic Director Border
January,94579,UK,california,1900,alameda,Strategic Director Border
January,98006,UK,washington,12200,king,Strategic Director Border
January,94301,UK,california,225835,santa clara,Strategic Director Border
February,97413,UK,oregon,410,lane,Strategic Director Border
February,98058,UK,washington,2870,king,Criminal & Detention Group
January,98059,UK,washington,3050,king,HROD
January,98007,UK,washington,250,king,International Group
January,94306,UK,california,56002,santa clara,Strategic Director Border
January,94580,UK,california,250,alameda,HMIC
